source,label,mode,input_key,head_type,best_epoch,train_size,val_size,mae_z,rmse_z,median_abs_dz_over_1pz,catastrophic_outlier_rate,pearson_corr,spearman_corr
baseline_shared,image-only_z_shared,image-only,z_shared,mlp,30,743,83,0.027433966339779008,0.037690610502664576,0.018216616743497144,0.0,0.8849017233113337,0.7059107510180093
baseline_shared,spectrum-only_z_shared,spectrum-only,z_shared,mlp,36,743,83,0.025436483949131096,0.03530280555378234,0.01599800354359548,0.0,0.9087854068636098,0.6816884261785818
baseline_shared,both_z_shared,both,z_shared,mlp,26,743,83,0.029203522633424545,0.038288079545520826,0.01922285488596213,0.0,0.8858777913623412,0.6952898702825238
single_feature,image-only_z_img,image-only,z_img,mlp,12,743,83,0.025318145255434764,0.033969803797078535,0.016164632039415813,0.0,0.9067468710839554,0.7874774358759077
single_feature,spectrum-only_z_spec,spectrum-only,z_spec,mlp,26,743,83,0.024464959073923976,0.03398428583885866,0.01650491355171595,0.0,0.9066716365211773,0.811972629192729
single_feature,both_z_img,both,z_img,mlp,12,743,83,0.025318145255434764,0.033969803797078535,0.016164632039415813,0.0,0.9067468710839554,0.7874774358759077
single_feature,both_z_spec,both,z_spec,mlp,26,743,83,0.024464959073923976,0.03398428583885866,0.01650491355171595,0.0,0.9066716365211773,0.811972629192729
concat_feature,image-only_z_shared_z_img,image-only,"z_shared,z_img",mlp,19,743,83,0.0271792006258101,0.035529555065938204,0.018183887946106998,0.0,0.9034028375376157,0.7723647202048611
concat_feature,spectrum-only_z_shared_z_spec,spectrum-only,"z_shared,z_spec",mlp,31,743,83,0.022445774620331555,0.03143742055261944,0.012772298665801747,0.0,0.9220375881088814,0.7891356366231476
concat_feature,both_z_shared_z_img,both,"z_shared,z_img",mlp,9,743,83,0.027405066872913254,0.037583596514683446,0.01742273812769205,0.0,0.8861862300088245,0.7400612904579992
concat_feature,both_z_shared_z_spec,both,"z_shared,z_spec",mlp,31,743,83,0.023898896702329617,0.033205136618397676,0.013921178366182474,0.0,0.9114247821758,0.7727845178623902
concat_feature,both_z_shared_z_img_z_spec,both,"z_shared,z_img,z_spec",mlp,18,743,83,0.028074872733306992,0.0362584687455359,0.01843306482493022,0.0,0.9016480692640682,0.7602535577851475
