compare_key,mode,input_key,head_type,best_epoch,train_size,val_size,mae_z,rmse_z,median_abs_dz_over_1pz,catastrophic_outlier_rate,pearson_corr,spearman_corr
both_z_shared,both,z_shared,linear,18,743,83,0.029760780270177735,0.03830080240893745,0.022351347374274945,0.0,0.8810796380655339,0.7064354980899206
both_z_shared,both,z_shared,mlp,26,743,83,0.029203522633424545,0.038288079545520826,0.01922285488596213,0.0,0.8858777913623412,0.6952898702825238
image-only_z_img,image-only,z_img,linear,35,743,83,0.06366987969356039,0.09100830859776352,0.041472222649885086,0.07228915662650602,0.6271866302784431,0.37202813400375134
image-only_z_img,image-only,z_img,mlp,12,743,83,0.025318145255434764,0.033969803797078535,0.016164632039415813,0.0,0.9067468710839554,0.7874774358759077
image-only_z_shared,image-only,z_shared,linear,27,743,83,0.027375188081087656,0.03635105323600568,0.017976381789986114,0.0,0.8931726340580238,0.7329667100457579
image-only_z_shared,image-only,z_shared,mlp,30,743,83,0.027433966339779008,0.037690610502664576,0.018216616743497144,0.0,0.8849017233113337,0.7059107510180093
spectrum-only_z_shared,spectrum-only,z_shared,linear,27,743,83,0.02752883013910109,0.03689516251184986,0.018426103988921347,0.0,0.892038744087413,0.7199529826623566
spectrum-only_z_shared,spectrum-only,z_shared,mlp,36,743,83,0.025436483949131096,0.03530280555378234,0.01599800354359548,0.0,0.9087854068636098,0.6816884261785818
spectrum-only_z_spec,spectrum-only,z_spec,linear,21,743,83,0.042311248490138044,0.05382928454274227,0.03392267543296429,0.0,0.7517840759102172,0.6171235464506107
spectrum-only_z_spec,spectrum-only,z_spec,mlp,26,743,83,0.024464959073923976,0.03398428583885866,0.01650491355171595,0.0,0.9066716365211773,0.811972629192729
